metabolite_id,S001,S002,S003,S004,S005,S006,S007,S008,S009,S010,S011,S012,S013,S014,S015,S016,S017,S018,S019,S020,S021,S022,S023,S024,S025,S026,S027,S028,S029,S030,S031,S032,S033,S034,S035,S036,S037,S038,S039,S040
METAB_0015,2.0,687.408778388831,3.0,685.408778388831,683.408778388831,6.0,688.408778388831,693.408778388831,0.0,9.0,4.0,6.0,5.0,4.0,685.408778388831,10.0,7.0,12.0,5.0,686.408778388831,8.0,688.408778388831,8.0,700.408778388831,6.0,0.0,689.408778388831,686.408778388831,685.408778388831,687.408778388831,687.408778388831,6.0,687.408778388831,685.408778388831,2.0,688.408778388831,8.0,685.408778388831,685.408778388831,689.408778388831
METAB_0016,13.0,907.3165603416429,7.0,906.3165603416429,904.3165603416429,7.0,904.3165603416429,910.3165603416429,19.0,8.0,8.0,7.0,18.0,9.0,914.3165603416429,6.0,6.0,8.0,13.0,911.3165603416429,8.0,909.3165603416429,9.0,904.3165603416429,0.0,9.0,912.3165603416429,908.3165603416429,906.3165603416429,903.3165603416429,909.3165603416429,12.0,909.3165603416429,904.3165603416429,8.0,911.3165603416429,9.0,910.3165603416429,907.3165603416429,913.3165603416429
METAB_0017,4.0,646.2390602050234,5.0,644.2390602050234,646.2390602050234,3.0,652.2390602050234,653.2390602050234,6.0,7.0,5.0,4.0,3.0,5.0,648.2390602050234,7.0,1.0,1.0,9.0,647.2390602050234,11.0,650.2390602050234,4.0,646.2390602050234,5.0,1.0,645.2390602050234,646.2390602050234,654.2390602050234,645.2390602050234,647.2390602050234,4.0,647.2390602050234,654.2390602050234,9.0,648.2390602050234,5.0,649.2390602050234,646.2390602050234,652.2390602050234
METAB_0018,15.0,836.3582505203855,7.0,837.3582505203855,839.3582505203855,2.0,838.3582505203855,832.3582505203855,8.0,16.0,8.0,9.0,6.0,3.0,831.3582505203855,8.0,8.0,3.0,9.0,838.3582505203855,10.0,842.3582505203855,6.0,842.3582505203855,5.0,9.0,840.3582505203855,837.3582505203855,834.3582505203855,833.3582505203855,835.3582505203855,5.0,840.3582505203855,836.3582505203855,15.0,841.3582505203855,11.0,833.3582505203855,829.3582505203855,834.3582505203855
METAB_0019,19.0,1150.091180232968,16.0,1138.091180232968,1146.091180232968,14.0,1159.091180232968,1143.091180232968,11.0,7.0,10.0,8.0,10.0,21.0,1149.091180232968,11.0,13.0,11.0,7.0,1154.091180232968,4.0,1146.091180232968,17.0,1143.091180232968,13.0,14.0,1154.091180232968,1148.091180232968,1153.091180232968,1143.091180232968,1146.091180232968,13.0,1143.091180232968,1141.091180232968,18.0,1148.091180232968,5.0,1147.091180232968,1142.091180232968,1144.091180232968
METAB_0020,7.0,7.0,2.0,4.0,2.0,12.0,4.0,5.0,8.0,7.0,1.0,6.0,6.0,4.0,2.0,0.0,6.0,2.0,7.0,8.0,5.0,6.0,5.0,6.0,6.0,3.0,2.0,4.0,6.0,1.0,5.0,13.0,10.0,12.0,4.0,13.0,1.0,5.0,6.0,3.0
METAB_0021,6.0,9.0,8.0,12.0,3.0,9.0,5.0,9.0,4.0,2.0,6.0,6.0,6.0,10.0,7.0,18.0,9.0,12.0,8.0,10.0,5.0,12.0,7.0,5.0,6.0,5.0,1.0,7.0,8.0,9.0,11.0,4.0,4.0,9.0,6.0,7.0,5.0,8.0,10.0,9.0
METAB_0022,2.0,5.0,4.0,3.0,0.0,6.0,9.0,6.0,2.0,10.0,4.0,8.0,2.0,5.0,7.0,0.0,3.0,5.0,2.0,3.0,9.0,5.0,8.0,3.0,3.0,5.0,2.0,1.0,0.0,2.0,0.0,15.0,1.0,4.0,5.0,5.0,9.0,9.0,2.0,1.0
METAB_0023,3.0,6.0,8.0,2.0,3.0,9.0,4.0,8.0,3.0,0.0,4.0,0.0,7.0,1.0,2.0,1.0,2.0,8.0,4.0,3.0,1.0,0.0,2.0,1.0,5.0,5.0,8.0,2.0,1.0,1.0,3.0,1.0,5.0,1.0,0.0,3.0,4.0,3.0,6.0,3.0
METAB_0024,12.0,9.0,9.0,17.0,12.0,13.0,6.0,6.0,10.0,17.0,10.0,5.0,9.0,17.0,11.0,14.0,15.0,13.0,10.0,8.0,11.0,11.0,9.0,8.0,5.0,12.0,8.0,7.0,5.0,13.0,18.0,13.0,9.0,4.0,15.0,17.0,6.0,13.0,9.0,16.0
METAB_0025,14.0,9.0,8.0,9.0,7.0,13.0,14.0,9.0,11.0,12.0,10.0,13.0,3.0,10.0,10.0,10.0,8.0,14.0,8.0,6.0,6.0,2.0,4.0,7.0,11.0,7.0,15.0,12.0,9.0,6.0,6.0,23.0,5.0,20.0,15.0,10.0,7.0,7.0,16.0,5.0
METAB_0026,6.0,17.0,8.0,12.0,5.0,11.0,6.0,16.0,11.0,9.0,12.0,14.0,12.0,13.0,6.0,6.0,11.0,22.0,9.0,6.0,13.0,8.0,8.0,18.0,11.0,12.0,14.0,8.0,4.0,23.0,10.0,16.0,14.0,8.0,17.0,11.0,12.0,9.0,6.0,18.0
METAB_0027,9.0,8.0,3.0,5.0,9.0,2.0,7.0,8.0,14.0,16.0,13.0,15.0,6.0,5.0,13.0,5.0,6.0,7.0,10.0,4.0,7.0,10.0,8.0,12.0,11.0,13.0,5.0,6.0,12.0,13.0,9.0,15.0,8.0,5.0,13.0,9.0,4.0,10.0,14.0,7.0
METAB_0028,19.0,2.0,17.0,15.0,12.0,8.0,10.0,11.0,10.0,13.0,17.0,12.0,12.0,17.0,15.0,22.0,10.0,11.0,6.0,11.0,13.0,12.0,12.0,19.0,5.0,5.0,15.0,5.0,13.0,7.0,10.0,12.0,16.0,11.0,11.0,9.0,12.0,15.0,11.0,18.0
METAB_0029,4.0,6.0,10.0,13.0,12.0,13.0,1.0,7.0,8.0,15.0,5.0,6.0,18.0,9.0,7.0,3.0,4.0,7.0,9.0,2.0,3.0,11.0,9.0,5.0,10.0,17.0,7.0,0.0,3.0,7.0,8.0,11.0,11.0,7.0,6.0,7.0,17.0,6.0,7.0,7.0
METAB_0030,16.0,9.0,7.0,14.0,5.0,5.0,5.0,14.0,15.0,14.0,16.0,6.0,10.0,14.0,11.0,29.0,23.0,12.0,12.0,11.0,8.0,17.0,10.0,11.0,10.0,10.0,6.0,11.0,12.0,8.0,16.0,5.0,17.0,8.0,24.0,8.0,20.0,13.0,7.0,4.0
METAB_0031,9.0,14.0,10.0,3.0,11.0,10.0,2.0,6.0,11.0,4.0,4.0,7.0,4.0,4.0,2.0,2.0,1.0,7.0,7.0,1.0,8.0,5.0,8.0,2.0,4.0,5.0,8.0,5.0,9.0,8.0,7.0,6.0,0.0,5.0,13.0,11.0,7.0,5.0,4.0,8.0
METAB_0032,6.0,12.0,9.0,10.0,5.0,3.0,6.0,5.0,4.0,7.0,7.0,10.0,4.0,6.0,6.0,14.0,6.0,7.0,6.0,9.0,10.0,5.0,10.0,4.0,4.0,8.0,4.0,9.0,8.0,12.0,4.0,4.0,2.0,5.0,3.0,4.0,10.0,7.0,6.0,4.0
METAB_0033,4.0,11.0,9.0,22.0,16.0,18.0,14.0,6.0,16.0,14.0,11.0,5.0,8.0,8.0,17.0,8.0,16.0,14.0,12.0,9.0,8.0,9.0,14.0,10.0,10.0,15.0,22.0,28.0,7.0,8.0,10.0,12.0,17.0,5.0,9.0,13.0,9.0,21.0,15.0,12.0
METAB_0034,0.0,3.0,2.0,6.0,3.0,4.0,7.0,4.0,1.0,5.0,4.0,3.0,1.0,1.0,3.0,7.0,1.0,3.0,11.0,5.0,2.0,1.0,1.0,1.0,3.0,3.0,5.0,5.0,3.0,3.0,6.0,4.0,2.0,8.0,8.0,4.0,3.0,0.0,5.0,2.0
METAB_0035,1.0,11.0,5.0,4.0,5.0,9.0,12.0,5.0,3.0,8.0,3.0,8.0,18.0,2.0,8.0,8.0,4.0,4.0,7.0,5.0,12.0,3.0,9.0,3.0,3.0,13.0,15.0,11.0,17.0,0.0,5.0,5.0,6.0,8.0,4.0,2.0,5.0,7.0,6.0,4.0
METAB_0036,4.0,13.0,5.0,15.0,9.0,4.0,7.0,8.0,5.0,14.0,9.0,9.0,12.0,11.0,19.0,20.0,4.0,11.0,12.0,13.0,6.0,13.0,20.0,13.0,16.0,15.0,15.0,8.0,11.0,12.0,18.0,5.0,9.0,20.0,8.0,10.0,11.0,14.0,17.0,12.0
METAB_0037,13.0,15.0,10.0,19.0,11.0,7.0,9.0,19.0,13.0,17.0,10.0,16.0,18.0,17.0,18.0,12.0,7.0,7.0,14.0,8.0,7.0,8.0,4.0,7.0,8.0,9.0,6.0,8.0,5.0,3.0,13.0,8.0,15.0,8.0,9.0,9.0,16.0,10.0,9.0,9.0
METAB_0038,4.0,12.0,6.0,5.0,8.0,5.0,5.0,6.0,6.0,5.0,11.0,4.0,3.0,10.0,8.0,5.0,9.0,10.0,4.0,10.0,5.0,10.0,7.0,9.0,15.0,6.0,7.0,12.0,10.0,3.0,8.0,12.0,10.0,7.0,4.0,16.0,6.0,8.0,1.0,10.0
METAB_0039,18.0,7.0,5.0,12.0,8.0,6.0,3.0,3.0,3.0,5.0,5.0,8.0,11.0,8.0,7.0,11.0,5.0,10.0,10.0,9.0,8.0,10.0,12.0,9.0,8.0,2.0,6.0,7.0,13.0,9.0,5.0,7.0,4.0,13.0,9.0,8.0,6.0,5.0,9.0,8.0
METAB_0040,9.0,19.0,7.0,9.0,18.0,18.0,10.0,15.0,5.0,5.0,17.0,10.0,21.0,9.0,9.0,4.0,10.0,14.0,16.0,11.0,12.0,12.0,17.0,5.0,12.0,12.0,14.0,8.0,10.0,13.0,6.0,16.0,14.0,17.0,13.0,11.0,6.0,5.0,2.0,6.0
METAB_0041,5.0,11.0,18.0,8.0,9.0,3.0,17.0,10.0,7.0,21.0,21.0,10.0,18.0,7.0,8.0,11.0,2.0,7.0,9.0,12.0,15.0,12.0,8.0,11.0,18.0,9.0,15.0,14.0,11.0,9.0,1.0,11.0,19.0,10.0,7.0,9.0,5.0,8.0,7.0,10.0
METAB_0042,2.0,3.0,3.0,2.0,7.0,3.0,8.0,6.0,6.0,9.0,3.0,2.0,8.0,10.0,5.0,11.0,11.0,4.0,9.0,4.0,8.0,14.0,4.0,7.0,6.0,4.0,5.0,5.0,13.0,5.0,6.0,2.0,0.0,3.0,1.0,11.0,8.0,5.0,3.0,5.0
METAB_0043,12.0,12.0,9.0,20.0,6.0,12.0,16.0,7.0,11.0,13.0,12.0,12.0,14.0,7.0,8.0,15.0,17.0,12.0,6.0,15.0,11.0,13.0,13.0,10.0,21.0,17.0,7.0,7.0,7.0,12.0,8.0,11.0,7.0,7.0,7.0,13.0,14.0,16.0,9.0,11.0
METAB_0044,17.0,9.0,9.0,8.0,10.0,11.0,14.0,9.0,6.0,14.0,5.0,8.0,8.0,15.0,5.0,10.0,14.0,14.0,7.0,15.0,6.0,16.0,20.0,10.0,9.0,5.0,13.0,15.0,16.0,9.0,12.0,9.0,13.0,27.0,19.0,11.0,9.0,10.0,6.0,6.0
METAB_0045,2.0,8.0,2.0,5.0,1.0,1.0,4.0,6.0,9.0,7.0,3.0,0.0,2.0,5.0,7.0,5.0,3.0,4.0,13.0,0.0,3.0,4.0,0.0,6.0,5.0,1.0,0.0,3.0,3.0,3.0,9.0,0.0,1.0,2.0,5.0,6.0,3.0,0.0,3.0,3.0
METAB_0046,2.0,2.0,8.0,1.0,3.0,5.0,3.0,1.0,5.0,8.0,2.0,9.0,4.0,1.0,0.0,1.0,2.0,8.0,3.0,4.0,3.0,2.0,0.0,0.0,1.0,2.0,3.0,4.0,7.0,7.0,1.0,3.0,4.0,1.0,0.0,4.0,3.0,4.0,2.0,8.0
METAB_0047,8.0,16.0,10.0,13.0,14.0,25.0,15.0,9.0,7.0,16.0,20.0,10.0,13.0,11.0,11.0,14.0,15.0,23.0,12.0,10.0,13.0,12.0,15.0,17.0,5.0,19.0,9.0,9.0,13.0,13.0,7.0,29.0,11.0,14.0,11.0,3.0,9.0,10.0,15.0,13.0
METAB_0048,5.0,4.0,1.0,8.0,3.0,6.0,4.0,3.0,6.0,2.0,8.0,8.0,3.0,4.0,7.0,1.0,9.0,2.0,6.0,3.0,1.0,16.0,4.0,4.0,8.0,2.0,1.0,9.0,6.0,7.0,6.0,5.0,3.0,6.0,3.0,9.0,1.0,6.0,4.0,7.0
METAB_0049,13.0,13.0,8.0,4.0,9.0,2.0,15.0,9.0,8.0,5.0,2.0,12.0,12.0,4.0,12.0,10.0,19.0,18.0,10.0,27.0,8.0,6.0,5.0,6.0,5.0,3.0,12.0,13.0,8.0,15.0,13.0,13.0,11.0,11.0,10.0,7.0,21.0,14.0,12.0,9.0
METAB_0050,5.0,6.0,3.0,13.0,7.0,1.0,2.0,7.0,10.0,1.0,5.0,3.0,3.0,1.0,8.0,3.0,3.0,3.0,4.0,3.0,1.0,1.0,1.0,6.0,5.0,11.0,4.0,5.0,4.0,10.0,3.0,5.0,0.0,1.0,2.0,0.0,4.0,3.0,1.0,1.0
METAB_0051,9.0,10.0,12.0,6.0,11.0,6.0,5.0,6.0,7.0,25.0,14.0,9.0,9.0,11.0,2.0,4.0,12.0,10.0,5.0,6.0,19.0,9.0,7.0,10.0,10.0,12.0,8.0,21.0,8.0,8.0,9.0,5.0,10.0,5.0,13.0,7.0,2.0,4.0,16.0,12.0
METAB_0052,6.0,6.0,4.0,11.0,8.0,7.0,12.0,8.0,9.0,5.0,6.0,13.0,3.0,9.0,10.0,0.0,0.0,1.0,7.0,13.0,4.0,5.0,4.0,2.0,0.0,8.0,2.0,2.0,11.0,7.0,8.0,2.0,4.0,6.0,8.0,7.0,15.0,8.0,7.0,4.0
METAB_0053,12.0,12.0,9.0,7.0,8.0,10.0,9.0,2.0,6.0,19.0,7.0,17.0,16.0,5.0,4.0,12.0,3.0,7.0,6.0,4.0,15.0,8.0,14.0,13.0,21.0,7.0,11.0,6.0,8.0,12.0,8.0,15.0,14.0,9.0,7.0,7.0,8.0,10.0,16.0,10.0
METAB_0054,22.0,8.0,10.0,10.0,16.0,11.0,16.0,17.0,10.0,18.0,5.0,4.0,11.0,13.0,13.0,17.0,16.0,5.0,10.0,17.0,8.0,8.0,8.0,11.0,10.0,10.0,11.0,30.0,7.0,10.0,26.0,16.0,9.0,16.0,13.0,10.0,11.0,14.0,13.0,10.0
METAB_0055,3.0,4.0,5.0,11.0,3.0,5.0,3.0,2.0,4.0,3.0,2.0,5.0,4.0,2.0,3.0,6.0,5.0,10.0,13.0,1.0,3.0,1.0,3.0,9.0,5.0,2.0,4.0,4.0,3.0,4.0,6.0,4.0,11.0,5.0,3.0,4.0,3.0,4.0,5.0,3.0
METAB_0056,8.0,2.0,5.0,8.0,9.0,2.0,4.0,4.0,7.0,2.0,4.0,7.0,3.0,10.0,4.0,2.0,6.0,15.0,4.0,1.0,8.0,5.0,6.0,3.0,7.0,8.0,4.0,2.0,8.0,4.0,14.0,7.0,7.0,5.0,7.0,6.0,6.0,11.0,2.0,3.0
METAB_0057,5.0,6.0,18.0,10.0,5.0,30.0,19.0,7.0,12.0,7.0,5.0,10.0,7.0,9.0,15.0,10.0,16.0,8.0,8.0,11.0,10.0,17.0,5.0,14.0,12.0,14.0,13.0,5.0,12.0,10.0,15.0,15.0,6.0,11.0,7.0,19.0,7.0,9.0,7.0,13.0
METAB_0058,26.0,18.0,7.0,9.0,9.0,11.0,11.0,10.0,14.0,10.0,16.0,9.0,14.0,24.0,8.0,5.0,13.0,6.0,28.0,3.0,10.0,10.0,9.0,7.0,11.0,18.0,15.0,15.0,15.0,11.0,8.0,11.0,8.0,9.0,9.0,15.0,17.0,17.0,21.0,11.0
METAB_0059,5.0,7.0,2.0,6.0,7.0,3.0,4.0,2.0,4.0,8.0,3.0,8.0,0.0,5.0,1.0,6.0,7.0,2.0,10.0,7.0,6.0,2.0,7.0,7.0,7.0,7.0,7.0,3.0,4.0,3.0,4.0,6.0,3.0,6.0,10.0,4.0,8.0,2.0,1.0,1.0
METAB_0060,7.0,5.0,10.0,15.0,11.0,6.0,6.0,12.0,10.0,18.0,6.0,15.0,13.0,15.0,17.0,8.0,12.0,12.0,8.0,15.0,18.0,7.0,17.0,15.0,11.0,15.0,12.0,6.0,19.0,13.0,16.0,23.0,10.0,31.0,10.0,13.0,12.0,12.0,8.0,11.0
METAB_0061,1.0,0.0,1.0,4.0,1.0,2.0,1.0,3.0,2.0,7.0,1.0,4.0,4.0,1.0,7.0,2.0,2.0,8.0,3.0,7.0,2.0,4.0,9.0,1.0,5.0,4.0,5.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,7.0
METAB_0062,3.0,1.0,2.0,3.0,6.0,4.0,2.0,0.0,4.0,2.0,5.0,4.0,1.0,2.0,0.0,6.0,7.0,5.0,3.0,4.0,2.0,3.0,3.0,2.0,8.0,2.0,9.0,1.0,7.0,6.0,3.0,2.0,4.0,3.0,1.0,3.0,1.0,1.0,2.0,3.0
METAB_0063,10.0,2.0,7.0,6.0,8.0,9.0,8.0,3.0,10.0,8.0,13.0,10.0,10.0,12.0,6.0,11.0,3.0,14.0,11.0,1.0,1.0,12.0,9.0,4.0,7.0,6.0,18.0,11.0,2.0,6.0,7.0,8.0,4.0,4.0,14.0,8.0,4.0,11.0,15.0,9.0
METAB_0064,12.0,8.0,11.0,7.0,8.0,15.0,6.0,5.0,12.0,8.0,12.0,18.0,3.0,12.0,9.0,4.0,1.0,8.0,7.0,7.0,9.0,5.0,10.0,12.0,6.0,3.0,6.0,6.0,15.0,8.0,7.0,18.0,6.0,12.0,4.0,7.0,2.0,5.0,5.0,15.0
METAB_0065,8.0,7.0,13.0,7.0,6.0,15.0,6.0,7.0,12.0,9.0,6.0,17.0,10.0,7.0,19.0,7.0,6.0,12.0,3.0,11.0,7.0,11.0,7.0,10.0,6.0,7.0,9.0,3.0,8.0,22.0,10.0,7.0,6.0,7.0,8.0,18.0,19.0,13.0,6.0,8.0
METAB_0066,13.0,10.0,6.0,10.0,18.0,33.0,10.0,16.0,13.0,14.0,8.0,12.0,16.0,17.0,7.0,13.0,17.0,7.0,6.0,13.0,15.0,7.0,10.0,9.0,11.0,13.0,9.0,12.0,9.0,5.0,10.0,15.0,11.0,10.0,10.0,10.0,9.0,5.0,10.0,15.0
METAB_0067,1.0,5.0,3.0,3.0,11.0,4.0,4.0,2.0,6.0,11.0,7.0,2.0,6.0,3.0,8.0,10.0,9.0,3.0,5.0,4.0,3.0,6.0,3.0,4.0,11.0,7.0,2.0,5.0,4.0,3.0,8.0,19.0,2.0,4.0,18.0,3.0,3.0,11.0,8.0,7.0
METAB_0068,12.0,12.0,5.0,7.0,6.0,0.0,8.0,6.0,5.0,8.0,6.0,7.0,5.0,3.0,2.0,5.0,3.0,6.0,3.0,7.0,4.0,10.0,8.0,7.0,6.0,4.0,7.0,5.0,5.0,11.0,12.0,10.0,1.0,8.0,0.0,6.0,8.0,6.0,5.0,9.0
METAB_0069,7.0,8.0,6.0,11.0,3.0,1.0,6.0,6.0,11.0,5.0,1.0,6.0,3.0,4.0,5.0,6.0,9.0,12.0,5.0,7.0,10.0,12.0,10.0,9.0,16.0,11.0,11.0,5.0,3.0,11.0,6.0,2.0,17.0,8.0,4.0,7.0,6.0,6.0,3.0,4.0
METAB_0070,1.0,10.0,3.0,9.0,6.0,4.0,10.0,3.0,4.0,3.0,1.0,4.0,3.0,8.0,7.0,6.0,9.0,6.0,2.0,3.0,3.0,9.0,2.0,4.0,7.0,7.0,3.0,10.0,1.0,10.0,8.0,2.0,11.0,2.0,2.0,2.0,8.0,5.0,1.0,3.0
METAB_0071,5.0,5.0,10.0,2.0,6.0,3.0,0.0,7.0,10.0,4.0,7.0,9.0,6.0,9.0,8.0,11.0,4.0,3.0,14.0,5.0,11.0,5.0,8.0,3.0,5.0,2.0,3.0,7.0,4.0,11.0,10.0,4.0,5.0,7.0,12.0,10.0,0.0,9.0,4.0,8.0
