gene_id,S001,S002,S003,S004,S005,S006,S007,S008,S009,S010,S011,S012,S013,S014,S015,S016,S017,S018,S019,S020,S021,S022,S023,S024,S025,S026,S027,S028,S029,S030,S031,S032,S033,S034,S035,S036,S037,S038,S039,S040
GENE_0010,3.0,188.24522602090093,7.0,186.24522602090093,191.24522602090093,4.0,189.24522602090093,191.24522602090093,2.0,2.0,7.0,1.0,3.0,2.0,193.24522602090093,1.0,2.0,8.0,3.0,187.24522602090093,3.0,186.24522602090093,7.0,186.24522602090093,4.0,2.0,190.24522602090093,186.24522602090093,186.24522602090093,195.24522602090093,186.24522602090093,2.0,192.24522602090093,187.24522602090093,1.0,186.24522602090093,1.0,192.24522602090093,187.24522602090093,189.24522602090093
GENE_0011,3.0,546.345462729572,1.0,544.345462729572,544.345462729572,18.0,550.345462729572,548.345462729572,4.0,12.0,17.0,5.0,10.0,7.0,551.345462729572,18.0,16.0,14.0,5.0,548.345462729572,9.0,546.345462729572,11.0,550.345462729572,7.0,15.0,543.345462729572,548.345462729572,543.345462729572,545.345462729572,547.345462729572,6.0,541.345462729572,543.345462729572,25.0,550.345462729572,11.0,542.345462729572,544.345462729572,549.345462729572
GENE_0012,6.0,493.10948741763815,5.0,493.10948741763815,499.10948741763815,7.0,496.10948741763815,497.10948741763815,7.0,10.0,5.0,4.0,0.0,13.0,498.10948741763815,6.0,14.0,10.0,7.0,493.10948741763815,1.0,496.10948741763815,10.0,496.10948741763815,5.0,6.0,498.10948741763815,494.10948741763815,504.10948741763815,493.10948741763815,497.10948741763815,9.0,499.10948741763815,498.10948741763815,9.0,498.10948741763815,7.0,494.10948741763815,499.10948741763815,500.10948741763815
GENE_0013,16.0,504.535819035215,7.0,503.535819035215,509.535819035215,2.0,500.535819035215,502.535819035215,8.0,1.0,12.0,6.0,26.0,3.0,506.535819035215,3.0,11.0,4.0,10.0,501.535819035215,9.0,503.535819035215,11.0,502.535819035215,10.0,6.0,500.535819035215,506.535819035215,502.535819035215,502.535819035215,503.535819035215,9.0,501.535819035215,498.535819035215,6.0,503.535819035215,8.0,504.535819035215,501.535819035215,506.535819035215
GENE_0014,9.0,543.0026718679535,8.0,550.0026718679535,548.0026718679535,4.0,549.0026718679535,541.0026718679535,11.0,8.0,12.0,11.0,11.0,14.0,549.0026718679535,7.0,11.0,2.0,7.0,546.0026718679535,5.0,556.0026718679535,12.0,551.0026718679535,5.0,12.0,554.0026718679535,547.0026718679535,556.0026718679535,553.0026718679535,556.0026718679535,5.0,544.0026718679535,547.0026718679535,5.0,542.0026718679535,15.0,540.0026718679535,547.0026718679535,549.0026718679535
GENE_0015,6.0,261.36809093404304,1.0,257.36809093404304,259.36809093404304,3.0,258.36809093404304,260.36809093404304,3.0,9.0,1.0,3.0,6.0,4.0,256.36809093404304,9.0,5.0,4.0,4.0,259.36809093404304,2.0,257.36809093404304,1.0,259.36809093404304,3.0,3.0,260.36809093404304,258.36809093404304,259.36809093404304,259.36809093404304,263.36809093404304,9.0,258.36809093404304,262.36809093404304,5.0,260.36809093404304,5.0,260.36809093404304,266.36809093404304,261.36809093404304
GENE_0016,6.0,448.5580053691243,5.0,442.5580053691243,441.5580053691243,9.0,442.5580053691243,449.5580053691243,3.0,1.0,2.0,11.0,3.0,9.0,443.5580053691243,3.0,13.0,4.0,2.0,446.5580053691243,7.0,450.5580053691243,9.0,442.5580053691243,9.0,1.0,449.5580053691243,454.5580053691243,444.5580053691243,444.5580053691243,447.5580053691243,4.0,443.5580053691243,454.5580053691243,7.0,451.5580053691243,15.0,442.5580053691243,449.5580053691243,444.5580053691243
GENE_0017,5.0,253.92751186902893,7.0,254.92751186902893,258.92751186902893,0.0,257.92751186902893,256.92751186902893,3.0,4.0,5.0,7.0,4.0,3.0,254.92751186902893,3.0,6.0,4.0,3.0,256.92751186902893,3.0,256.92751186902893,1.0,256.92751186902893,11.0,3.0,256.92751186902893,251.92751186902893,253.92751186902893,256.92751186902893,254.92751186902893,2.0,252.92751186902893,254.92751186902893,6.0,256.92751186902893,4.0,254.92751186902893,256.92751186902893,251.92751186902893
GENE_0018,2.0,183.42736662207648,2.0,182.42736662207648,181.42736662207648,5.0,184.42736662207648,185.42736662207648,5.0,5.0,2.0,1.0,8.0,7.0,187.42736662207648,2.0,1.0,4.0,5.0,182.42736662207648,1.0,185.42736662207648,7.0,184.42736662207648,3.0,0.0,182.42736662207648,185.42736662207648,194.42736662207648,183.42736662207648,184.42736662207648,0.0,186.42736662207648,182.42736662207648,4.0,186.42736662207648,2.0,188.42736662207648,183.42736662207648,183.42736662207648
GENE_0019,8.0,600.6064193987561,11.0,601.6064193987561,604.6064193987561,11.0,615.6064193987561,608.6064193987561,13.0,8.0,11.0,12.0,13.0,10.0,612.6064193987561,9.0,12.0,8.0,16.0,601.6064193987561,4.0,608.6064193987561,7.0,612.6064193987561,3.0,6.0,601.6064193987561,606.6064193987561,602.6064193987561,608.6064193987561,605.6064193987561,3.0,597.6064193987561,607.6064193987561,8.0,604.6064193987561,9.0,614.6064193987561,603.6064193987561,607.6064193987561
GENE_0020,5.0,2.0,4.0,1.0,9.0,6.0,0.0,4.0,3.0,12.0,2.0,1.0,11.0,2.0,1.0,5.0,7.0,4.0,3.0,3.0,2.0,6.0,3.0,4.0,0.0,7.0,3.0,2.0,1.0,1.0,3.0,7.0,2.0,4.0,4.0,8.0,8.0,4.0,9.0,5.0
GENE_0021,2.0,2.0,6.0,7.0,4.0,0.0,2.0,2.0,12.0,1.0,5.0,4.0,2.0,3.0,6.0,1.0,3.0,5.0,4.0,1.0,5.0,2.0,5.0,7.0,3.0,3.0,4.0,3.0,0.0,1.0,9.0,1.0,5.0,2.0,1.0,4.0,5.0,13.0,4.0,13.0
GENE_0022,10.0,3.0,3.0,12.0,13.0,10.0,2.0,5.0,4.0,10.0,3.0,9.0,2.0,11.0,13.0,6.0,10.0,12.0,10.0,4.0,9.0,10.0,11.0,3.0,5.0,7.0,1.0,2.0,4.0,9.0,4.0,9.0,4.0,5.0,8.0,6.0,10.0,11.0,5.0,8.0
GENE_0023,3.0,8.0,1.0,4.0,2.0,9.0,4.0,9.0,3.0,8.0,15.0,6.0,6.0,15.0,8.0,7.0,10.0,7.0,10.0,12.0,5.0,13.0,12.0,5.0,7.0,1.0,6.0,8.0,5.0,8.0,1.0,18.0,13.0,8.0,4.0,5.0,10.0,7.0,5.0,13.0
GENE_0024,5.0,10.0,4.0,3.0,14.0,7.0,8.0,4.0,5.0,1.0,4.0,14.0,6.0,9.0,7.0,10.0,4.0,12.0,11.0,5.0,5.0,5.0,4.0,6.0,6.0,4.0,15.0,6.0,3.0,10.0,5.0,9.0,6.0,10.0,7.0,3.0,4.0,5.0,5.0,3.0
GENE_0025,0.0,3.0,0.0,6.0,3.0,6.0,0.0,7.0,2.0,3.0,3.0,3.0,6.0,2.0,2.0,3.0,1.0,9.0,7.0,5.0,8.0,7.0,11.0,1.0,1.0,13.0,4.0,4.0,5.0,8.0,6.0,2.0,1.0,5.0,5.0,2.0,5.0,3.0,4.0,7.0
GENE_0026,2.0,7.0,3.0,1.0,6.0,4.0,4.0,4.0,10.0,6.0,2.0,4.0,5.0,3.0,7.0,11.0,5.0,2.0,10.0,4.0,6.0,4.0,4.0,4.0,7.0,7.0,1.0,5.0,5.0,5.0,7.0,4.0,3.0,8.0,8.0,1.0,3.0,4.0,8.0,1.0
GENE_0027,12.0,3.0,3.0,3.0,1.0,4.0,7.0,8.0,1.0,4.0,13.0,6.0,6.0,0.0,4.0,8.0,4.0,5.0,2.0,5.0,1.0,3.0,4.0,2.0,6.0,1.0,1.0,6.0,7.0,2.0,2.0,5.0,5.0,5.0,2.0,8.0,4.0,1.0,10.0,7.0
GENE_0028,7.0,3.0,2.0,9.0,2.0,9.0,11.0,6.0,7.0,9.0,6.0,1.0,4.0,7.0,1.0,0.0,5.0,9.0,3.0,5.0,11.0,1.0,5.0,6.0,2.0,8.0,11.0,5.0,8.0,4.0,16.0,4.0,2.0,3.0,6.0,6.0,3.0,5.0,2.0,6.0
GENE_0029,11.0,10.0,7.0,3.0,3.0,2.0,8.0,5.0,0.0,0.0,3.0,9.0,4.0,2.0,3.0,2.0,2.0,0.0,5.0,2.0,5.0,10.0,11.0,2.0,6.0,7.0,5.0,3.0,2.0,7.0,2.0,0.0,3.0,0.0,5.0,4.0,3.0,2.0,11.0,3.0
GENE_0030,8.0,8.0,4.0,1.0,15.0,3.0,3.0,9.0,5.0,17.0,7.0,5.0,0.0,12.0,4.0,4.0,5.0,2.0,5.0,4.0,10.0,6.0,1.0,3.0,4.0,4.0,1.0,0.0,10.0,3.0,9.0,0.0,14.0,5.0,5.0,4.0,3.0,8.0,5.0,4.0
GENE_0031,1.0,2.0,0.0,7.0,0.0,0.0,7.0,4.0,12.0,1.0,2.0,5.0,0.0,4.0,2.0,2.0,2.0,2.0,1.0,7.0,2.0,7.0,7.0,3.0,5.0,2.0,7.0,3.0,4.0,3.0,5.0,7.0,2.0,4.0,5.0,3.0,4.0,7.0,3.0,7.0
GENE_0032,1.0,3.0,6.0,8.0,0.0,6.0,6.0,5.0,8.0,6.0,3.0,0.0,3.0,7.0,5.0,2.0,7.0,6.0,9.0,12.0,2.0,2.0,4.0,2.0,4.0,5.0,3.0,7.0,4.0,3.0,7.0,10.0,1.0,3.0,9.0,5.0,1.0,9.0,6.0,2.0
GENE_0033,20.0,5.0,6.0,15.0,10.0,11.0,9.0,0.0,5.0,9.0,7.0,12.0,4.0,11.0,8.0,12.0,12.0,6.0,5.0,3.0,25.0,12.0,2.0,17.0,6.0,20.0,6.0,22.0,8.0,13.0,4.0,11.0,13.0,10.0,9.0,8.0,11.0,8.0,6.0,10.0
GENE_0034,12.0,11.0,5.0,12.0,5.0,14.0,7.0,3.0,8.0,12.0,12.0,7.0,8.0,11.0,9.0,11.0,5.0,7.0,5.0,9.0,11.0,6.0,3.0,10.0,4.0,5.0,13.0,12.0,8.0,7.0,10.0,8.0,6.0,11.0,8.0,10.0,23.0,14.0,21.0,14.0
GENE_0035,7.0,3.0,15.0,5.0,9.0,10.0,14.0,17.0,1.0,3.0,4.0,4.0,3.0,14.0,8.0,2.0,6.0,8.0,6.0,1.0,9.0,2.0,4.0,4.0,5.0,20.0,4.0,3.0,5.0,3.0,8.0,6.0,9.0,3.0,12.0,6.0,9.0,3.0,7.0,1.0
GENE_0036,3.0,3.0,4.0,16.0,5.0,5.0,0.0,4.0,5.0,2.0,1.0,4.0,11.0,2.0,2.0,3.0,10.0,5.0,9.0,3.0,1.0,8.0,0.0,5.0,0.0,5.0,4.0,5.0,8.0,2.0,1.0,4.0,3.0,3.0,3.0,3.0,1.0,3.0,8.0,8.0
GENE_0037,6.0,5.0,4.0,7.0,6.0,5.0,6.0,4.0,7.0,1.0,13.0,9.0,3.0,6.0,2.0,5.0,5.0,7.0,1.0,6.0,5.0,5.0,5.0,3.0,4.0,1.0,18.0,4.0,8.0,7.0,6.0,8.0,5.0,6.0,2.0,6.0,6.0,0.0,2.0,4.0
GENE_0038,2.0,7.0,19.0,14.0,7.0,7.0,5.0,10.0,17.0,4.0,7.0,17.0,7.0,8.0,13.0,10.0,19.0,7.0,5.0,6.0,10.0,8.0,4.0,15.0,10.0,14.0,9.0,17.0,20.0,2.0,5.0,15.0,8.0,5.0,11.0,9.0,8.0,9.0,12.0,9.0
GENE_0039,0.0,1.0,1.0,0.0,2.0,3.0,5.0,2.0,2.0,0.0,0.0,5.0,6.0,2.0,3.0,2.0,3.0,1.0,2.0,0.0,3.0,6.0,1.0,3.0,2.0,4.0,0.0,1.0,9.0,4.0,2.0,0.0,4.0,1.0,4.0,10.0,3.0,1.0,0.0,0.0
GENE_0040,8.0,2.0,5.0,1.0,1.0,2.0,5.0,2.0,1.0,2.0,2.0,1.0,4.0,2.0,0.0,0.0,3.0,4.0,6.0,3.0,5.0,1.0,6.0,3.0,1.0,7.0,5.0,4.0,0.0,2.0,0.0,5.0,1.0,4.0,0.0,3.0,2.0,3.0,6.0,1.0
GENE_0041,6.0,1.0,1.0,5.0,8.0,9.0,5.0,5.0,1.0,0.0,2.0,4.0,2.0,3.0,6.0,4.0,5.0,1.0,3.0,0.0,1.0,0.0,6.0,3.0,1.0,2.0,4.0,10.0,1.0,1.0,1.0,2.0,4.0,8.0,9.0,4.0,3.0,2.0,0.0,6.0
GENE_0042,1.0,3.0,1.0,3.0,5.0,3.0,6.0,8.0,1.0,2.0,2.0,3.0,3.0,1.0,6.0,1.0,1.0,6.0,2.0,9.0,5.0,1.0,0.0,3.0,6.0,2.0,4.0,1.0,1.0,7.0,3.0,1.0,6.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0
GENE_0043,5.0,2.0,0.0,5.0,4.0,2.0,6.0,10.0,10.0,1.0,7.0,6.0,4.0,6.0,3.0,4.0,5.0,5.0,2.0,6.0,9.0,8.0,5.0,7.0,4.0,12.0,3.0,5.0,8.0,3.0,14.0,8.0,7.0,10.0,5.0,8.0,5.0,9.0,4.0,8.0
GENE_0044,7.0,2.0,3.0,5.0,4.0,3.0,14.0,0.0,2.0,6.0,3.0,0.0,9.0,1.0,0.0,8.0,6.0,6.0,5.0,3.0,1.0,4.0,1.0,4.0,5.0,1.0,6.0,5.0,1.0,4.0,7.0,7.0,8.0,2.0,1.0,4.0,3.0,2.0,6.0,7.0
GENE_0045,9.0,12.0,11.0,7.0,6.0,16.0,9.0,11.0,14.0,3.0,2.0,3.0,9.0,9.0,3.0,11.0,8.0,11.0,2.0,9.0,8.0,9.0,8.0,12.0,15.0,14.0,13.0,7.0,14.0,14.0,3.0,8.0,7.0,12.0,16.0,11.0,14.0,11.0,15.0,11.0
GENE_0046,4.0,11.0,9.0,7.0,9.0,5.0,5.0,3.0,3.0,2.0,14.0,11.0,6.0,8.0,3.0,9.0,8.0,7.0,1.0,5.0,4.0,5.0,5.0,7.0,7.0,4.0,4.0,8.0,11.0,5.0,5.0,9.0,2.0,12.0,5.0,5.0,6.0,9.0,3.0,8.0
GENE_0047,8.0,5.0,13.0,6.0,8.0,7.0,13.0,13.0,10.0,8.0,8.0,6.0,9.0,3.0,2.0,13.0,2.0,8.0,13.0,7.0,13.0,4.0,6.0,10.0,12.0,6.0,4.0,17.0,8.0,5.0,12.0,4.0,3.0,4.0,6.0,7.0,2.0,6.0,4.0,2.0
GENE_0048,9.0,3.0,9.0,3.0,2.0,4.0,11.0,3.0,6.0,7.0,8.0,2.0,12.0,1.0,8.0,7.0,6.0,6.0,13.0,4.0,11.0,9.0,5.0,9.0,10.0,2.0,15.0,8.0,7.0,6.0,7.0,9.0,3.0,0.0,2.0,4.0,6.0,1.0,4.0,4.0
GENE_0049,8.0,7.0,9.0,5.0,7.0,5.0,1.0,4.0,7.0,6.0,9.0,8.0,2.0,5.0,4.0,2.0,8.0,5.0,10.0,8.0,9.0,4.0,11.0,6.0,5.0,10.0,11.0,8.0,4.0,7.0,7.0,8.0,8.0,3.0,8.0,4.0,10.0,10.0,7.0,16.0
GENE_0050,16.0,7.0,3.0,7.0,5.0,5.0,5.0,10.0,13.0,9.0,2.0,8.0,12.0,7.0,13.0,15.0,8.0,6.0,8.0,10.0,8.0,9.0,13.0,7.0,4.0,8.0,11.0,5.0,7.0,11.0,9.0,27.0,9.0,9.0,13.0,7.0,11.0,12.0,15.0,8.0
GENE_0051,10.0,11.0,5.0,5.0,10.0,9.0,0.0,7.0,10.0,20.0,16.0,7.0,7.0,7.0,12.0,5.0,17.0,8.0,12.0,19.0,17.0,12.0,16.0,5.0,10.0,3.0,5.0,7.0,13.0,8.0,10.0,7.0,10.0,3.0,9.0,23.0,6.0,3.0,13.0,5.0
GENE_0052,2.0,3.0,2.0,11.0,2.0,12.0,10.0,4.0,5.0,4.0,6.0,10.0,3.0,3.0,7.0,13.0,2.0,6.0,13.0,15.0,2.0,11.0,1.0,7.0,5.0,9.0,12.0,12.0,10.0,5.0,11.0,2.0,10.0,8.0,7.0,6.0,8.0,5.0,6.0,10.0
GENE_0053,3.0,5.0,0.0,0.0,3.0,4.0,3.0,7.0,1.0,2.0,3.0,1.0,2.0,4.0,2.0,0.0,2.0,3.0,1.0,6.0,0.0,2.0,0.0,4.0,8.0,3.0,3.0,2.0,11.0,2.0,4.0,0.0,2.0,1.0,2.0,1.0,3.0,4.0,2.0,20.0
GENE_0054,6.0,12.0,10.0,8.0,5.0,7.0,13.0,13.0,15.0,8.0,6.0,11.0,5.0,14.0,4.0,10.0,6.0,7.0,8.0,13.0,6.0,8.0,10.0,10.0,13.0,6.0,10.0,12.0,7.0,5.0,9.0,6.0,10.0,10.0,7.0,11.0,10.0,20.0,5.0,10.0
GENE_0055,3.0,1.0,4.0,0.0,5.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0,3.0,3.0,11.0,0.0,10.0,1.0,2.0,2.0,1.0,2.0,4.0,4.0,1.0,2.0,7.0,0.0,1.0,1.0,4.0,5.0,2.0,1.0,6.0,1.0,2.0,2.0,2.0,2.0
GENE_0056,13.0,5.0,8.0,10.0,3.0,10.0,2.0,14.0,9.0,16.0,7.0,11.0,8.0,10.0,10.0,2.0,18.0,4.0,9.0,11.0,5.0,11.0,7.0,13.0,15.0,14.0,13.0,7.0,5.0,6.0,11.0,5.0,9.0,1.0,8.0,5.0,6.0,8.0,14.0,12.0
GENE_0057,3.0,4.0,2.0,0.0,9.0,5.0,2.0,6.0,1.0,1.0,8.0,5.0,2.0,5.0,2.0,4.0,2.0,0.0,3.0,3.0,3.0,0.0,4.0,1.0,6.0,4.0,3.0,1.0,6.0,2.0,2.0,8.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,4.0
GENE_0058,5.0,8.0,9.0,7.0,6.0,3.0,8.0,13.0,14.0,2.0,6.0,7.0,2.0,13.0,2.0,7.0,6.0,6.0,12.0,10.0,2.0,4.0,9.0,8.0,2.0,9.0,6.0,10.0,11.0,4.0,6.0,4.0,4.0,5.0,6.0,1.0,5.0,3.0,4.0,4.0
GENE_0059,10.0,6.0,4.0,11.0,8.0,3.0,8.0,9.0,9.0,5.0,4.0,5.0,2.0,5.0,9.0,13.0,18.0,5.0,14.0,5.0,5.0,10.0,11.0,11.0,5.0,8.0,9.0,8.0,7.0,13.0,11.0,3.0,13.0,12.0,11.0,4.0,3.0,13.0,6.0,9.0
GENE_0060,6.0,5.0,8.0,4.0,10.0,6.0,2.0,10.0,6.0,13.0,17.0,11.0,11.0,11.0,3.0,10.0,3.0,19.0,9.0,4.0,9.0,11.0,6.0,10.0,13.0,3.0,2.0,7.0,13.0,16.0,11.0,5.0,8.0,13.0,8.0,7.0,6.0,4.0,5.0,3.0
GENE_0061,1.0,10.0,1.0,5.0,7.0,13.0,3.0,13.0,14.0,7.0,1.0,12.0,3.0,9.0,8.0,8.0,2.0,4.0,7.0,10.0,9.0,15.0,8.0,10.0,11.0,12.0,13.0,2.0,14.0,4.0,9.0,7.0,7.0,6.0,10.0,3.0,10.0,7.0,4.0,11.0
GENE_0062,5.0,3.0,18.0,15.0,4.0,8.0,11.0,6.0,3.0,15.0,8.0,16.0,5.0,7.0,9.0,16.0,7.0,14.0,9.0,5.0,9.0,9.0,12.0,6.0,16.0,2.0,12.0,1.0,6.0,9.0,10.0,11.0,11.0,6.0,14.0,2.0,8.0,10.0,4.0,5.0
GENE_0063,3.0,9.0,6.0,2.0,0.0,7.0,9.0,1.0,7.0,3.0,5.0,8.0,3.0,2.0,3.0,8.0,8.0,6.0,4.0,12.0,10.0,12.0,2.0,1.0,6.0,7.0,11.0,6.0,4.0,6.0,3.0,3.0,9.0,2.0,7.0,6.0,7.0,5.0,7.0,2.0
GENE_0064,15.0,8.0,14.0,7.0,7.0,11.0,8.0,4.0,15.0,7.0,4.0,17.0,9.0,9.0,5.0,2.0,7.0,20.0,10.0,4.0,10.0,11.0,10.0,16.0,2.0,10.0,16.0,12.0,9.0,11.0,13.0,5.0,3.0,13.0,6.0,17.0,3.0,3.0,8.0,7.0
GENE_0065,22.0,8.0,13.0,15.0,4.0,9.0,15.0,7.0,6.0,13.0,11.0,11.0,6.0,11.0,5.0,23.0,19.0,9.0,10.0,8.0,17.0,11.0,25.0,12.0,9.0,7.0,13.0,34.0,14.0,17.0,6.0,20.0,14.0,5.0,21.0,11.0,6.0,4.0,10.0,5.0
GENE_0066,4.0,8.0,6.0,1.0,5.0,2.0,6.0,7.0,10.0,11.0,7.0,17.0,11.0,4.0,5.0,7.0,5.0,11.0,3.0,5.0,13.0,8.0,8.0,8.0,9.0,8.0,6.0,4.0,2.0,6.0,5.0,7.0,8.0,4.0,5.0,4.0,9.0,12.0,11.0,5.0
GENE_0067,9.0,17.0,8.0,17.0,17.0,14.0,19.0,12.0,13.0,10.0,7.0,7.0,4.0,12.0,7.0,7.0,12.0,5.0,7.0,10.0,9.0,5.0,16.0,7.0,8.0,14.0,6.0,7.0,17.0,5.0,4.0,8.0,3.0,12.0,11.0,8.0,8.0,9.0,8.0,4.0
GENE_0068,3.0,11.0,12.0,4.0,3.0,5.0,3.0,1.0,4.0,3.0,2.0,5.0,4.0,1.0,0.0,2.0,5.0,6.0,5.0,0.0,1.0,1.0,3.0,1.0,6.0,7.0,3.0,1.0,3.0,3.0,0.0,7.0,1.0,3.0,9.0,6.0,1.0,0.0,0.0,5.0
GENE_0069,3.0,8.0,5.0,5.0,1.0,4.0,8.0,3.0,3.0,1.0,1.0,2.0,6.0,7.0,7.0,4.0,0.0,2.0,7.0,5.0,2.0,3.0,4.0,6.0,6.0,2.0,1.0,8.0,6.0,6.0,1.0,5.0,8.0,6.0,0.0,9.0,0.0,2.0,1.0,2.0
GENE_0070,10.0,10.0,10.0,12.0,11.0,12.0,6.0,5.0,6.0,3.0,10.0,5.0,18.0,5.0,2.0,3.0,4.0,6.0,0.0,10.0,10.0,14.0,5.0,14.0,10.0,7.0,8.0,2.0,9.0,3.0,5.0,9.0,18.0,3.0,7.0,6.0,3.0,9.0,2.0,6.0
GENE_0071,2.0,7.0,7.0,6.0,9.0,5.0,8.0,1.0,17.0,6.0,8.0,5.0,13.0,6.0,15.0,3.0,4.0,3.0,4.0,9.0,4.0,8.0,9.0,7.0,11.0,16.0,7.0,12.0,3.0,8.0,5.0,9.0,8.0,1.0,8.0,10.0,4.0,8.0,12.0,16.0
GENE_0072,5.0,3.0,6.0,2.0,3.0,3.0,2.0,5.0,4.0,4.0,2.0,4.0,9.0,3.0,5.0,5.0,1.0,3.0,5.0,8.0,1.0,7.0,5.0,7.0,2.0,5.0,7.0,3.0,5.0,6.0,2.0,4.0,1.0,12.0,3.0,7.0,3.0,5.0,7.0,5.0
